Location,Created At,Text,Sentiment,Polarity,subjectivity,Favs,Retweets,Tags,Nouns
,2019-10-18 06:00:36,"RT @nuclearkenya: Nuclear power isn't considered renewable energy, given its dependence on a mined, finite resource, but because operating…",Neutral,0.0,0.0,0,25,"['RT', 'Nuclear', 'power', 'isn', 't', 'considered', 'renewable', 'energy', 'given', 'its', 'dependence', 'on', 'a', 'mined', 'finite', 'resource', 'but', 'because', 'operating']","['rt nuclear', 'power isn t', 'renewable energy', 'finite resource']"
,2019-10-18 06:00:36,RT @LivPosting: Conservatives will rely on “science” to say there are only two genders and then pretend global warming doesn’t exist,Neutral,0.0,0.5,0,5287,"['RT', 'Conservatives', 'will', 'rely', 'on', 'science', 'to', 'say', 'there', 'are', 'only', 'two', 'genders', 'and', 'then', 'pretend', 'global', 'warming', 'doesn', 't', 'exist']","['rt conservatives', 'doesn t']"
,2019-10-18 06:00:36,"RT @ArteyLives: Hello there, 
 So after publishing my very first blog post on what “sexual health” is, I’ve received a lot of warming and c…",Positive,0.4125,0.6333333333333333,0,1,"['RT', 'Hello', 'there', 'So', 'after', 'publishing', 'my', 'very', 'first', 'blog', 'post', 'on', 'what', 'sexual', 'health', 'is', 'I', 've', 'received', 'a', 'lot', 'of', 'warming', 'and', 'c']","['rt hello', 'blog post', 'sexual health']"
,2019-10-18 06:00:31,RT @britneyspears: Does anyone think global warming is a good thing? I love Lady Gaga.  I think she's a really interesting artist.,Positive,0.425,0.42500000000000004,0,148838,"['RT', 'Does', 'anyone', 'think', 'global', 'warming', 'is', 'a', 'good', 'thing', 'I', 'love', 'Lady', 'Gaga', 'I', 'think', 'she', 's', 'a', 'really', 'interesting', 'artist']","['rt does', 'good thing', 'gaga', 'interesting artist']"
,2019-10-18 06:00:19,Excited to share the latest addition to my #etsy shop: Climate Change Awareness 'Global Warming is Bad' Unisex T-Sh… https://t.co/u2z4n7bvjF,Positive,0.04375000000000004,0.5791666666666666,0,0,"['Excited', 'to', 'share', 'the', 'latest', 'addition', 'to', 'my', 'etsy', 'shop', 'Climate', 'Change', 'Awareness', 'Global', 'Warming', 'is', 'Bad', 'Unisex', 'T', 'Sh']","['excited', 'etsy shop', 'climate', 'awareness global warming', 'unisex t sh']"
,2019-10-18 06:00:14,"RT @Marlene45MAGA: #ClimateChangeHoax 

This 12 minute video illuminates the total deception perpetrated by the #ClimateChange liars.

""...…",Neutral,0.0,0.75,0,493,"['RT', 'ClimateChangeHoax', 'This', '12', 'minute', 'video', 'illuminates', 'the', 'total', 'deception', 'perpetrated', 'by', 'the', 'ClimateChange', 'liars']","['rt climatechangehoax', 'minute video illuminates', 'total deception', 'climatechange']"
,2019-10-18 06:00:11,@SwitcherNZ @kaupapa You need to fool people into accepting these things so that they can be adequately supressed w… https://t.co/UAEUyCkCzJ,Positive,0.3333333333333333,0.3333333333333333,0,0,"['You', 'need', 'to', 'fool', 'people', 'into', 'accepting', 'these', 'things', 'so', 'that', 'they', 'can', 'be', 'adequately', 'supressed', 'w']",['fool people']
,2019-10-18 05:59:47,"In April 2019, Swiss reinsurance company Swiss Re calculated that anthropogenic environmental harms, including clim… https://t.co/iEAFOkeJG1",Neutral,0.0,0.0,1,0,"['In', 'April', '2019', 'Swiss', 'reinsurance', 'company', 'Swiss', 'Re', 'calculated', 'that', 'anthropogenic', 'environmental', 'harms', 'including', 'clim']","['april', 'swiss reinsurance company', 're', 'anthropogenic environmental harms']"
,2019-10-18 05:59:37,@Ricky_Picky I blame global warming honestly,Positive,0.3,0.45,0,0,"['Picky', 'I', 'blame', 'global', 'warming', 'honestly']",['picky']
,2019-10-18 05:59:26,RT @LivPosting: Conservatives will rely on “science” to say there are only two genders and then pretend global warming doesn’t exist,Neutral,0.0,0.5,0,5287,"['RT', 'Conservatives', 'will', 'rely', 'on', 'science', 'to', 'say', 'there', 'are', 'only', 'two', 'genders', 'and', 'then', 'pretend', 'global', 'warming', 'doesn', 't', 'exist']","['rt conservatives', 'doesn t']"
,2019-10-18 05:59:24,"RT @Marlene45MAGA: #ClimateChangeHoax 

This 12 minute video illuminates the total deception perpetrated by the #ClimateChange liars.

""...…",Neutral,0.0,0.75,0,493,"['RT', 'ClimateChangeHoax', 'This', '12', 'minute', 'video', 'illuminates', 'the', 'total', 'deception', 'perpetrated', 'by', 'the', 'ClimateChange', 'liars']","['rt climatechangehoax', 'minute video illuminates', 'total deception', 'climatechange']"
,2019-10-18 05:59:18,RT @LivPosting: Conservatives will rely on “science” to say there are only two genders and then pretend global warming doesn’t exist,Neutral,0.0,0.5,0,5287,"['RT', 'Conservatives', 'will', 'rely', 'on', 'science', 'to', 'say', 'there', 'are', 'only', 'two', 'genders', 'and', 'then', 'pretend', 'global', 'warming', 'doesn', 't', 'exist']","['rt conservatives', 'doesn t']"
,2019-10-18 05:59:12,RT @kvngSpice: A global warming ad I created years ago.. https://t.co/ZeMjaFc81e,Neutral,0.0,0.0,0,23,"['RT', 'A', 'global', 'warming', 'ad', 'I', 'created', 'years', 'ago']",['rt']
,2019-10-18 05:59:12,RT @LivPosting: Conservatives will rely on “science” to say there are only two genders and then pretend global warming doesn’t exist,Neutral,0.0,0.5,0,5287,"['RT', 'Conservatives', 'will', 'rely', 'on', 'science', 'to', 'say', 'there', 'are', 'only', 'two', 'genders', 'and', 'then', 'pretend', 'global', 'warming', 'doesn', 't', 'exist']","['rt conservatives', 'doesn t']"
,2019-10-18 05:58:58,"RT @danco_1830: Biden Spent $924,000 On Private Jets ... To Tell America About Threat From Global Warming https://t.co/EFcVhj9gUt via @gate…",Negative,-0.03333333333333333,0.15833333333333333,0,6,"['RT', '1830', 'Biden', 'Spent', '924', '000', 'On', 'Private', 'Jets', 'To', 'Tell', 'America', 'About', 'Threat', 'From', 'Global', 'Warming', 'via']","['rt', 'biden spent', 'jets', 'america', 'global warming']"
,2019-10-18 05:58:53,RT @LivPosting: Conservatives will rely on “science” to say there are only two genders and then pretend global warming doesn’t exist,Neutral,0.0,0.5,0,5287,"['RT', 'Conservatives', 'will', 'rely', 'on', 'science', 'to', 'say', 'there', 'are', 'only', 'two', 'genders', 'and', 'then', 'pretend', 'global', 'warming', 'doesn', 't', 'exist']","['rt conservatives', 'doesn t']"
,2019-10-18 05:58:52,"RT @MahiHerambha: Thought for Day by considering global warming and environment change 👍
#FridayMotivation 
#FridayFeeling https://t.co/hoI…",Neutral,0.0,0.0,0,3,"['RT', 'Thought', 'for', 'Day', 'by', 'considering', 'global', 'warming', 'and', 'environment', 'change', 'FridayMotivation', 'FridayFeeling']","['rt thought', 'fridaymotivation fridayfeeling']"
